VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,trip_duration_min
1,2024-01-14 23:03:25,2024-01-14 23:06:06,0.0,0.5,1.0,N,48,48,2,5.1,3.5,0.5,0.0,0.0,1.0,10.1,2.5,0.0,2.683333333333333
2,2024-01-03 16:09:20,2024-01-03 17:26:11,1.0,23.54,2.0,N,132,265,1,70.0,5.0,0.0,35.54,101.69,1.0,214.98,0.0,1.75,76.85
2,2024-01-15 20:46:34,2024-01-15 20:52:48,1.0,1.38,1.0,N,79,170,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,6.233333333333333
1,2024-01-11 19:34:39,2024-01-11 20:25:59,1.0,9.5,1.0,N,132,198,1,38.7,4.25,0.5,0.0,0.0,1.0,44.45,0.0,1.75,51.333333333333336
1,2024-01-10 23:33:26,2024-01-10 23:42:35,1.0,1.8,1.0,N,142,141,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,9.15
1,2024-01-10 22:01:40,2024-01-10 22:08:43,2.0,2.4,1.0,N,161,236,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,7.05
2,2024-01-04 16:32:22,2024-01-04 17:49:27,1.0,24.94,3.0,N,138,1,1,123.8,7.5,0.0,30.8,21.69,1.0,186.54,0.0,1.75,77.08333333333333
1,2024-01-24 13:18:18,2024-01-24 13:26:21,1.0,0.9,1.0,N,230,43,1,8.6,2.5,0.5,3.15,0.0,1.0,15.75,2.5,0.0,8.05
1,2024-01-17 10:28:08,2024-01-17 10:56:21,1.0,3.2,1.0,N,229,239,1,26.1,2.5,0.5,5.12,0.0,1.0,35.22,2.5,0.0,28.216666666666665
2,2024-01-28 04:33:47,2024-01-28 04:38:07,,0.61,,,226,226,0,6.83,0.0,0.5,0.0,0.0,1.0,8.33,,,4.333333333333333
2,2024-01-06 21:38:51,2024-01-06 21:46:30,1.0,2.14,1.0,N,237,74,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,7.650000000000001
2,2024-01-25 13:56:17,2024-01-25 14:22:25,1.0,5.17,1.0,N,238,233,1,28.2,0.0,0.5,6.44,0.0,1.0,38.64,2.5,0.0,26.133333333333333
2,2024-01-24 11:08:22,2024-01-24 11:22:20,1.0,1.47,1.0,N,163,142,1,13.5,0.0,0.5,3.5,0.0,1.0,21.0,2.5,0.0,13.966666666666669
2,2024-01-22 09:58:53,2024-01-22 10:07:35,3.0,1.06,1.0,N,43,263,1,9.3,0.0,0.5,2.0,0.0,1.0,15.3,2.5,0.0,8.7
2,2024-01-03 19:13:44,2024-01-03 19:26:36,1.0,0.73,1.0,N,230,164,2,10.7,2.5,0.5,0.0,0.0,1.0,17.2,2.5,0.0,12.866666666666667
1,2024-01-07 05:43:58,2024-01-07 06:08:40,1.0,10.7,1.0,N,132,225,1,42.2,2.75,0.5,5.0,0.0,1.0,51.45,0.0,1.75,24.7
2,2024-01-18 22:54:13,2024-01-18 23:03:24,2.0,0.59,1.0,N,186,137,1,9.3,1.0,0.5,2.0,0.0,1.0,16.3,2.5,0.0,9.183333333333334
2,2024-01-13 14:09:39,2024-01-13 14:20:19,3.0,0.96,1.0,N,161,100,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,10.666666666666666
